# Windowed IMU NJS Results
# Source: 002 1 2023-11-9 12-28-45.txt
# Window: 1.0 sec (last window partial if needed)
# Gap threshold for segments: 0.1 sec
# NJS proxy = (∫ jerk^2 dt * T^2) / (∫ accel^2 dt)
# is_task=1 means window mostly inside rehab activity (SideToSide/Pour/VerticalSip/VerticalShelf)

t_mid_abs	window_start_s	window_end_s	njs	is_task	activity	segment_id
0.500	0.000	1.000	1.279476	0	None	1
1.500	1.000	2.000	1.398220	0	None	1
2.500	2.000	3.000	1.480696	1	SideToSide	1
3.500	3.000	4.000	1.010709	0	HandRight	1
4.500	4.000	5.000	0.683805	0	HandRight	1
5.500	5.000	6.000	1.110520	0	BeginTask	1
6.500	6.000	7.000	0.956885	0	BeginTask	1
7.500	7.000	8.000	1.055190	0	BeginTask	1
8.500	8.000	9.000	2.143288	0	BeginTask	1
9.500	9.000	10.000	2.180859	0	BeginTask	1
10.500	10.000	11.000	4.265735	0	BeginTask	1
11.500	11.000	12.000	1.596062	0	BeginTask	1
12.500	12.000	13.000	0.947782	0	BeginTask	1
13.500	13.000	14.000	1.734327	0	FinishTask	1
14.500	14.000	15.000	1.163048	1	SideToSide	1
15.500	15.000	16.000	1.552183	1	SideToSide	1
16.500	16.000	17.000	1.202334	0	HandRight	1
17.500	17.000	18.000	1.148524	0	BeginTask	1
18.500	18.000	19.000	1.838060	0	BeginTask	1
19.500	19.000	20.000	3.298603	0	BeginTask	1
20.500	20.000	21.000	11.562879	0	BeginTask	1
21.500	21.000	22.000	1.688666	0	FinishTask	1
22.500	22.000	23.000	1.170100	0	FinishTask	1
23.500	23.000	24.000	1.153263	1	SideToSide	1
24.500	24.000	25.000	0.928838	0	HandRight	1
25.500	25.000	26.000	1.229790	0	BeginTask	1
26.500	26.000	27.000	2.512244	0	BeginTask	1
27.500	27.000	28.000	16.212314	0	BeginTask	1
28.500	28.000	29.000	1.882250	0	BeginTask	1
29.500	29.000	30.000	1.141471	0	BeginTask	1
30.500	30.000	31.000	1.320391	1	SideToSide	1
31.500	31.000	32.000	1.347514	0	HandRight	1
32.500	32.000	33.000	1.295572	0	BeginTask	1
33.500	33.000	34.000	2.107168	0	BeginTask	1
34.500	34.000	35.000	2.350222	0	BeginTask	1
35.500	35.000	36.000	6.628185	0	BeginTask	1
36.500	36.000	37.000	0.879544	0	FinishTask	1
37.500	37.000	38.000	1.191534	1	SideToSide	1
38.500	38.000	39.000	1.034720	0	HandRight	1
39.500	39.000	40.000	0.910345	0	BeginTask	1
40.500	40.000	41.000	2.397655	0	BeginTask	1
41.500	41.000	42.000	2.150365	0	BeginTask	1
42.500	42.000	43.000	20.441832	0	BeginTask	1
43.500	43.000	44.000	1.060203	0	FinishTask	1
44.500	44.000	45.000	1.115878	1	SideToSide	1
45.500	45.000	46.000	1.361242	0	HandRight	1
46.500	46.000	47.000	0.886761	0	BeginTask	1
47.500	47.000	48.000	3.095508	0	BeginTask	1
48.500	48.000	49.000	2.288409	0	BeginTask	1
49.500	49.000	50.000	84.387396	0	BeginTask	1
50.500	50.000	51.000	1.242782	0	FinishTask	1
51.500	51.000	52.000	1.178737	1	SideToSide	1
52.500	52.000	53.000	1.041709	0	HandRight	1
53.500	53.000	54.000	1.025554	0	BeginTask	1
54.500	54.000	55.000	4.103336	0	BeginTask	1
55.500	55.000	56.000	17.697673	0	BeginTask	1
56.500	56.000	57.000	1.002900	0	BeginTask	1
57.500	57.000	58.000	1.407321	0	FinishTask	1
58.500	58.000	59.000	1.065346	1	SideToSide	1
59.500	59.000	60.000	1.216517	0	HandRight	1
60.500	60.000	61.000	1.999106	0	BeginTask	1
61.500	61.000	62.000	2.797978	0	BeginTask	1
62.500	62.000	63.000	2.678863	0	BeginTask	1
63.500	63.000	64.000	1.056678	0	FinishTask	1
64.500	64.000	65.000	1.540148	1	SideToSide	1
65.500	65.000	66.000	1.464186	0	HandRight	1
66.500	66.000	67.000	1.462370	0	BeginTask	1
67.500	67.000	68.000	2.567558	0	BeginTask	1
68.500	68.000	69.000	6.094460	0	BeginTask	1
69.500	69.000	70.000	0.993540	0	FinishTask	1
70.500	70.000	71.000	1.859763	1	SideToSide	1
71.500	71.000	72.000	1.296366	0	HandRight	1
72.500	72.000	73.000	1.282673	0	BeginTask	1
73.500	73.000	74.000	2.612335	0	BeginTask	1
74.500	74.000	75.000	8.202746	0	BeginTask	1
75.500	75.000	76.000	1.037994	0	FinishTask	1
76.500	76.000	77.000	1.033596	0	FinishTask	1
77.500	77.000	78.000	0.881907	0	FinishTask	1
78.500	78.000	79.000	1.146961	0	FinishTask	1
79.060	79.000	79.120	0.044482	0	FinishTask	1
