# Windowed IMU NJS Results
# Source: 002 1 2023-11-9 12-52-07.txt
# Window: 1.0 sec (last window partial if needed)
# Gap threshold for segments: 0.1 sec
# NJS proxy = (∫ jerk^2 dt * T^2) / (∫ accel^2 dt)
# is_task=1 means window mostly inside rehab activity (SideToSide/Pour/VerticalSip/VerticalShelf)

t_mid_abs	window_start_s	window_end_s	njs	is_task	activity	segment_id
0.500	0.000	1.000	1.021132	0	None	1
1.500	1.000	2.000	0.984384	0	None	1
2.500	2.000	3.000	0.856218	0	None	1
3.500	3.000	4.000	1.157391	0	None	1
4.500	4.000	5.000	0.976316	0	None	1
5.500	5.000	6.000	1.253746	1	Pour	1
6.500	6.000	7.000	1.204231	1	Pour	1
7.500	7.000	8.000	1.294091	0	HandLeft	1
8.500	8.000	9.000	0.599614	0	HandLeft	1
9.500	9.000	10.000	0.653594	0	BeginTask	1
10.500	10.000	11.000	1.089438	0	BeginTask	1
11.500	11.000	12.000	2.524734	0	BeginTask	1
12.500	12.000	13.000	0.969268	0	BeginTask	1
13.500	13.000	14.000	0.796768	0	BeginTask	1
14.500	14.000	15.000	0.910559	0	BeginTask	1
15.500	15.000	16.000	8.786710	0	BeginTask	1
16.500	16.000	17.000	1.099985	0	BeginTask	1
17.500	17.000	18.000	1.304560	0	FinishTask	1
18.500	18.000	19.000	1.184108	0	FinishTask	1
19.500	19.000	20.000	1.470237	0	HandLeft	1
20.500	20.000	21.000	1.425274	0	BeginTask	1
21.500	21.000	22.000	1.097711	0	BeginTask	1
22.500	22.000	23.000	3.265343	0	BeginTask	1
23.500	23.000	24.000	0.890510	0	BeginTask	1
24.500	24.000	25.000	1.136674	0	BeginTask	1
25.500	25.000	26.000	0.868903	0	BeginTask	1
26.500	26.000	27.000	4.551631	0	BeginTask	1
27.500	27.000	28.000	4.213958	0	BeginTask	1
28.500	28.000	29.000	0.813712	0	FinishTask	1
29.500	29.000	30.000	1.690455	1	Pour	1
30.500	30.000	31.000	0.783306	0	HandLeft	1
31.500	31.000	32.000	0.938535	0	BeginTask	1
32.500	32.000	33.000	2.195690	0	BeginTask	1
33.500	33.000	34.000	1.329989	0	BeginTask	1
34.500	34.000	35.000	1.134819	0	BeginTask	1
35.500	35.000	36.000	0.889882	0	BeginTask	1
36.500	36.000	37.000	3.344645	0	BeginTask	1
37.500	37.000	38.000	14.687241	0	BeginTask	1
38.500	38.000	39.000	1.513881	0	BeginTask	1
39.500	39.000	40.000	1.138564	0	FinishTask	1
40.500	40.000	41.000	1.397053	0	FinishTask	1
41.500	41.000	42.000	1.484563	1	Pour	1
42.500	42.000	43.000	1.176123	0	BeginTask	1
43.500	43.000	44.000	2.036288	0	BeginTask	1
44.500	44.000	45.000	3.356303	0	BeginTask	1
45.500	45.000	46.000	1.576844	0	BeginTask	1
46.500	46.000	47.000	1.214064	0	BeginTask	1
47.500	47.000	48.000	0.882614	0	BeginTask	1
48.500	48.000	49.000	3.096815	0	BeginTask	1
49.500	49.000	50.000	18.661341	0	BeginTask	1
50.500	50.000	51.000	1.269245	0	BeginTask	1
51.500	51.000	52.000	1.295142	0	FinishTask	1
52.500	52.000	53.000	1.621484	1	Pour	1
53.500	53.000	54.000	1.689165	0	BeginTask	1
54.500	54.000	55.000	2.500350	0	BeginTask	1
55.500	55.000	56.000	2.744602	0	BeginTask	1
56.500	56.000	57.000	1.867236	0	BeginTask	1
57.500	57.000	58.000	1.253029	0	BeginTask	1
58.500	58.000	59.000	3.820183	0	BeginTask	1
59.500	59.000	60.000	29.924330	0	BeginTask	1
60.500	60.000	61.000	1.193691	0	BeginTask	1
61.500	61.000	62.000	1.354509	0	FinishTask	1
62.500	62.000	63.000	1.557040	1	Pour	1
63.500	63.000	64.000	0.923076	0	HandLeft	1
64.500	64.000	65.000	0.912857	0	BeginTask	1
65.500	65.000	66.000	3.844464	0	BeginTask	1
66.500	66.000	67.000	1.841898	0	BeginTask	1
67.500	67.000	68.000	1.303551	0	BeginTask	1
68.500	68.000	69.000	0.675172	0	BeginTask	1
69.500	69.000	70.000	2.352504	0	BeginTask	1
70.500	70.000	71.000	4.643700	0	BeginTask	1
71.500	71.000	72.000	1.261043	0	BeginTask	1
72.500	72.000	73.000	1.320812	0	FinishTask	1
73.500	73.000	74.000	1.162171	1	Pour	1
74.500	74.000	75.000	1.016982	0	HandLeft	1
75.500	75.000	76.000	1.679905	0	BeginTask	1
76.500	76.000	77.000	3.423348	0	BeginTask	1
77.500	77.000	78.000	2.770134	0	BeginTask	1
78.500	78.000	79.000	1.330744	0	BeginTask	1
79.500	79.000	80.000	0.891953	0	BeginTask	1
80.500	80.000	81.000	2.385029	0	BeginTask	1
81.500	81.000	82.000	8.651156	0	BeginTask	1
82.500	82.000	83.000	4.676859	0	BeginTask	1
83.500	83.000	84.000	1.052110	0	FinishTask	1
84.500	84.000	85.000	1.010099	0	FinishTask	1
85.500	85.000	86.000	1.014185	1	Pour	1
86.500	86.000	87.000	0.974255	0	BeginTask	1
87.500	87.000	88.000	1.801368	0	BeginTask	1
88.500	88.000	89.000	3.948022	0	BeginTask	1
89.500	89.000	90.000	1.728365	0	BeginTask	1
90.500	90.000	91.000	0.971193	0	BeginTask	1
91.500	91.000	92.000	1.374536	0	BeginTask	1
92.500	92.000	93.000	4.384699	0	BeginTask	1
93.500	93.000	94.000	14.204416	0	BeginTask	1
94.500	94.000	95.000	1.438844	0	FinishTask	1
95.500	95.000	96.000	0.770358	0	FinishTask	1
96.500	96.000	97.000	1.167571	0	HandLeft	1
97.500	97.000	98.000	1.269059	0	BeginTask	1
98.500	98.000	99.000	0.981315	0	BeginTask	1
99.500	99.000	100.000	4.871491	0	BeginTask	1
100.500	100.000	101.000	1.312680	0	BeginTask	1
101.500	101.000	102.000	1.055999	0	BeginTask	1
102.500	102.000	103.000	1.437630	0	BeginTask	1
103.500	103.000	104.000	2.233118	0	BeginTask	1
104.500	104.000	105.000	10.325096	0	BeginTask	1
105.500	105.000	106.000	0.702593	0	FinishTask	1
106.500	106.000	107.000	1.427352	1	Pour	1
107.500	107.000	108.000	1.702981	0	BeginTask	1
108.500	108.000	109.000	1.347270	0	BeginTask	1
109.500	109.000	110.000	5.435078	0	BeginTask	1
110.500	110.000	111.000	0.656705	0	BeginTask	1
111.500	111.000	112.000	1.134564	0	BeginTask	1
112.500	112.000	113.000	0.926842	0	BeginTask	1
113.500	113.000	114.000	3.058006	0	BeginTask	1
114.500	114.000	115.000	3.870922	0	BeginTask	1
115.500	115.000	116.000	1.193422	0	FinishTask	1
116.410	116.000	116.820	0.786756	0	FinishTask	1
