# Windowed IMU NJS Results
# Source: 009 008 2024-03-29 14-39-08.txt
# Window: 1.0 sec (last window partial if needed)
# Gap threshold for segments: 0.1 sec
# NJS proxy = (∫ jerk^2 dt * T^2) / (∫ accel^2 dt)
# is_task=1 means window mostly inside rehab activity (SideToSide/Pour/VerticalSip/VerticalShelf)

t_mid_abs	window_start_s	window_end_s	njs	is_task	activity	segment_id
0.500	0.000	1.000	2.039578	0	None	1
1.500	1.000	2.000	2.271907	1	VerticalSip	1
2.500	2.000	3.000	2.337451	0	HandLeft	1
3.500	3.000	4.000	2.531317	0	BeginTask	1
4.500	4.000	5.000	3.077848	0	BeginTask	1
5.500	5.000	6.000	3.744520	0	BeginTask	1
6.500	6.000	7.000	6.248559	0	BeginTask	1
7.500	7.000	8.000	11.540064	0	BeginTask	1
8.500	8.000	9.000	29.202519	0	BeginTask	1
9.500	9.000	10.000	3.976804	0	BeginTask	1
10.500	10.000	11.000	2.282951	0	FinishTask	1
11.500	11.000	12.000	2.883999	1	VerticalSip	1
12.500	12.000	13.000	1.999345	0	HandLeft	1
13.500	13.000	14.000	1.966147	0	BeginTask	1
14.500	14.000	15.000	4.858443	0	BeginTask	1
15.500	15.000	16.000	5.640132	0	BeginTask	1
16.500	16.000	17.000	7.175401	0	BeginTask	1
17.500	17.000	18.000	9.750918	0	BeginTask	1
18.500	18.000	19.000	69.606359	0	BeginTask	1
19.500	19.000	20.000	1.494374	0	BeginTask	1
20.500	20.000	21.000	1.861495	0	FinishTask	1
21.500	21.000	22.000	1.663594	0	FinishTask	1
22.500	22.000	23.000	1.669582	0	FinishTask	1
23.500	23.000	24.000	2.079913	0	FinishTask	1
24.500	24.000	25.000	1.323163	0	FinishTask	1
25.500	25.000	26.000	2.037142	0	FinishTask	1
26.500	26.000	27.000	1.961512	0	FinishTask	1
27.500	27.000	28.000	1.489895	0	FinishTask	1
28.500	28.000	29.000	0.991376	0	FinishTask	1
29.500	29.000	30.000	1.212057	0	FinishTask	1
30.500	30.000	31.000	2.399530	0	FinishTask	1
31.500	31.000	32.000	2.560257	0	FinishTask	1
32.500	32.000	33.000	2.673419	0	FinishTask	1
33.500	33.000	34.000	1.984557	0	FinishTask	1
34.500	34.000	35.000	2.570911	0	FinishTask	1
35.500	35.000	36.000	1.897454	0	FinishTask	1
36.500	36.000	37.000	1.419672	0	FinishTask	1
37.500	37.000	38.000	1.574871	0	FinishTask	1
38.500	38.000	39.000	1.245321	0	FinishTask	1
39.500	39.000	40.000	3.578671	0	FinishTask	1
40.500	40.000	41.000	1.577437	0	FinishTask	1
41.500	41.000	42.000	2.147819	0	FinishTask	1
42.500	42.000	43.000	1.552969	0	FinishTask	1
43.500	43.000	44.000	2.034498	0	FinishTask	1
44.500	44.000	45.000	2.857209	0	FinishTask	1
45.500	45.000	46.000	2.479388	0	FinishTask	1
46.500	46.000	47.000	1.630367	0	FinishTask	1
47.500	47.000	48.000	2.619979	0	FinishTask	1
48.500	48.000	49.000	1.486543	1	VerticalSip	1
49.500	49.000	50.000	2.424154	0	HandLeft	1
50.500	50.000	51.000	1.373530	0	BeginTask	1
51.500	51.000	52.000	6.150395	0	BeginTask	1
52.500	52.000	53.000	3.518464	0	BeginTask	1
53.500	53.000	54.000	5.913970	0	BeginTask	1
54.500	54.000	55.000	2.530640	0	BeginTask	1
55.500	55.000	56.000	2.480312	0	FinishTask	1
56.500	56.000	57.000	2.653408	1	VerticalSip	1
57.500	57.000	58.000	1.603916	0	HandLeft	1
58.500	58.000	59.000	2.009349	0	BeginTask	1
59.500	59.000	60.000	7.538204	0	BeginTask	1
60.500	60.000	61.000	4.266471	0	BeginTask	1
61.500	61.000	62.000	8.127740	0	BeginTask	1
62.500	62.000	63.000	49.230297	0	BeginTask	1
63.500	63.000	64.000	1.571096	0	FinishTask	1
64.500	64.000	65.000	2.488294	1	VerticalSip	1
65.500	65.000	66.000	3.325321	0	HandLeft	1
66.500	66.000	67.000	2.931694	0	BeginTask	1
67.500	67.000	68.000	9.524805	0	BeginTask	1
68.500	68.000	69.000	4.915197	0	BeginTask	1
69.500	69.000	70.000	7.712785	0	BeginTask	1
70.500	70.000	71.000	6.156293	0	BeginTask	1
71.500	71.000	72.000	1.756110	0	FinishTask	1
72.500	72.000	73.000	2.217958	0	FinishTask	1
73.500	73.000	74.000	2.732788	0	HandLeft	1
74.500	74.000	75.000	2.214495	0	BeginTask	1
75.500	75.000	76.000	4.047616	0	BeginTask	1
76.500	76.000	77.000	3.765334	0	BeginTask	1
77.500	77.000	78.000	3.182624	0	BeginTask	1
78.500	78.000	79.000	4.789820	0	BeginTask	1
79.500	79.000	80.000	3.240469	0	BeginTask	1
80.500	80.000	81.000	2.553768	0	FinishTask	1
81.500	81.000	82.000	3.188178	1	VerticalSip	1
82.500	82.000	83.000	3.001420	0	BeginTask	1
83.500	83.000	84.000	4.285957	0	BeginTask	1
84.500	84.000	85.000	3.751554	0	BeginTask	1
85.500	85.000	86.000	4.881956	0	BeginTask	1
86.500	86.000	87.000	3.634284	0	BeginTask	1
87.500	87.000	88.000	3.700445	0	BeginTask	1
88.500	88.000	89.000	1.620448	0	FinishTask	1
89.500	89.000	90.000	1.221477	0	HandLeft	1
90.500	90.000	91.000	1.498720	0	BeginTask	1
91.500	91.000	92.000	5.637311	0	BeginTask	1
92.500	92.000	93.000	3.068935	0	BeginTask	1
