# Windowed IMU NJS Results
# Source: 014 013 2024-07-31 14-52-05.txt
# Window: 1.0 sec (last window partial if needed)
# Gap threshold for segments: 0.1 sec
# NJS proxy = (∫ jerk^2 dt * T^2) / (∫ accel^2 dt)
# is_task=1 means window mostly inside rehab activity (SideToSide/Pour/VerticalSip/VerticalShelf)

t_mid_abs	window_start_s	window_end_s	njs	is_task	activity	segment_id
0.500	0.000	1.000	1.312661	0	VerticalSip	1
1.500	1.000	2.000	1.734890	1	VerticalSip	1
2.500	2.000	3.000	0.855779	0	BeginTask	1
3.500	3.000	4.000	1.272513	0	BeginTask	1
4.500	4.000	5.000	3.414391	0	BeginTask	1
5.500	5.000	6.000	2.009743	0	BeginTask	1
6.500	6.000	7.000	12.539632	0	BeginTask	1
7.500	7.000	8.000	1.112197	0	FinishTask	1
8.500	8.000	9.000	1.235062	1	VerticalSip	1
9.500	9.000	10.000	1.011381	0	HandRight	1
10.500	10.000	11.000	0.835382	0	BeginTask	1
11.500	11.000	12.000	3.075317	0	BeginTask	1
12.500	12.000	13.000	2.628543	0	BeginTask	1
13.500	13.000	14.000	1.116043	0	BeginTask	1
14.500	14.000	15.000	4.389954	0	BeginTask	1
15.500	15.000	16.000	1.928068	0	BeginTask	1
16.500	16.000	17.000	0.863879	0	FinishTask	1
17.500	17.000	18.000	1.175174	1	VerticalSip	1
18.500	18.000	19.000	0.832101	0	BeginTask	1
19.500	19.000	20.000	1.961015	0	BeginTask	1
20.500	20.000	21.000	2.333435	0	BeginTask	1
21.500	21.000	22.000	1.207334	0	BeginTask	1
22.500	22.000	23.000	3.744890	0	BeginTask	1
23.500	23.000	24.000	19.519396	0	BeginTask	1
24.500	24.000	25.000	1.207047	0	FinishTask	1
25.500	25.000	26.000	1.207566	0	FinishTask	1
26.500	26.000	27.000	1.026880	1	VerticalSip	1
27.500	27.000	28.000	1.084143	0	HandRight	1
28.500	28.000	29.000	1.094319	0	BeginTask	1
29.500	29.000	30.000	1.567474	0	BeginTask	1
30.500	30.000	31.000	2.807089	0	BeginTask	1
31.500	31.000	32.000	1.395582	0	BeginTask	1
32.500	32.000	33.000	6.104051	0	BeginTask	1
33.500	33.000	34.000	26.533532	0	BeginTask	1
34.500	34.000	35.000	1.107284	0	FinishTask	1
35.500	35.000	36.000	1.765044	1	VerticalSip	1
36.500	36.000	37.000	1.432723	0	BeginTask	1
37.500	37.000	38.000	2.043132	0	BeginTask	1
38.500	38.000	39.000	6.192169	0	BeginTask	1
39.500	39.000	40.000	1.171576	0	BeginTask	1
40.500	40.000	41.000	2.649124	0	BeginTask	1
41.500	41.000	42.000	3.672555	0	BeginTask	1
42.500	42.000	43.000	0.977002	0	FinishTask	1
43.500	43.000	44.000	0.848737	0	HandRight	1
44.500	44.000	45.000	0.787205	0	BeginTask	1
45.500	45.000	46.000	1.567606	0	BeginTask	1
46.500	46.000	47.000	4.731037	0	BeginTask	1
47.500	47.000	48.000	1.766565	0	BeginTask	1
48.500	48.000	49.000	4.313421	0	BeginTask	1
49.500	49.000	50.000	22.764576	0	BeginTask	1
50.500	50.000	51.000	1.114784	0	FinishTask	1
51.500	51.000	52.000	1.954809	1	VerticalSip	1
52.500	52.000	53.000	1.022445	0	HandRight	1
53.500	53.000	54.000	0.860729	0	BeginTask	1
54.500	54.000	55.000	1.670766	0	BeginTask	1
55.500	55.000	56.000	3.821645	0	BeginTask	1
56.500	56.000	57.000	2.737094	0	BeginTask	1
57.500	57.000	58.000	3.465489	0	BeginTask	1
58.500	58.000	59.000	31.647144	0	BeginTask	1
59.500	59.000	60.000	1.622140	0	FinishTask	1
60.500	60.000	61.000	0.794528	0	FinishTask	1
61.500	61.000	62.000	1.181367	1	VerticalSip	1
62.500	62.000	63.000	1.183905	0	BeginTask	1
63.500	63.000	64.000	1.422289	0	BeginTask	1
64.500	64.000	65.000	4.467608	0	BeginTask	1
65.500	65.000	66.000	1.432331	0	BeginTask	1
66.500	66.000	67.000	4.042886	0	BeginTask	1
67.500	67.000	68.000	33.975640	0	BeginTask	1
68.500	68.000	69.000	0.978027	0	FinishTask	1
69.500	69.000	70.000	1.280493	1	VerticalSip	1
70.500	70.000	71.000	1.540253	0	HandRight	1
71.500	71.000	72.000	0.966257	0	BeginTask	1
72.500	72.000	73.000	4.122239	0	BeginTask	1
73.500	73.000	74.000	1.789196	0	BeginTask	1
74.500	74.000	75.000	4.069966	0	BeginTask	1
75.500	75.000	76.000	12.369911	0	BeginTask	1
76.500	76.000	77.000	1.593172	0	FinishTask	1
77.500	77.000	78.000	0.767799	1	VerticalSip	1
78.500	78.000	79.000	1.767837	0	HandRight	1
79.500	79.000	80.000	0.962642	0	BeginTask	1
80.500	80.000	81.000	3.340706	0	BeginTask	1
81.500	81.000	82.000	1.618318	0	BeginTask	1
82.500	82.000	83.000	5.187881	0	BeginTask	1
83.500	83.000	84.000	2.837894	0	BeginTask	1
84.500	84.000	85.000	1.365788	0	FinishTask	1
85.460	85.000	85.920	1.000609	0	FinishTask	1
